"id","title","year","cites","venue","inst","atHome","inCv","doiInCv","authors","overlap","verdict"
"W2083942569","Identification of Astrocyte Secreted Proteins with a Combination of Shotgun Proteomics and Bioinformatics","2009","107","Journal of Proteome Research","University of Wisconsin–Madison","True","True","False","James A. Dowell; Jeffrey A. Johnson","2","keep"
"W4286457222","Th17 cells and inflammation in neurological disorders: Possible mechanisms of action","2022","105","Frontiers in Immunology","Soochow University; First Affiliated Hospital of Soochow University","False","False","False","Yajun Shi; Bin Wei; Bin Wang; Miao Sun","1","drop"
"W2086974390","Qualitative and quantitative mass spectrometry imaging of drugs and metabolites","2013","102","Advanced Drug Delivery Reviews","University of Wisconsin–Madison","True","True","True","Christopher B. Lietz; Erin Gemperline","2","keep"
"W4386163297","Single-cell lipidomics enabled by dual-polarity ionization and ion mobility-mass spectrometry imaging","2023","99","Nature Communications","University of Wisconsin System; University of Wisconsin–Madison; Wisconsin Institutes for Discovery","True","True","False","Hua Zhang; Yuan Liu; Lauren Fields; Xudong Shi; Penghsuan Huang; Haiyan Lu; Andrew J. Schneider; Xindi Tang; Luigi Puglielli; Nathan V. Welham","10","keep"
"W3037630880","Recent Advances in Analytical Approaches for Glycan and Glycopeptide Quantitation","2020","90","Molecular & Cellular Proteomics","University of Wisconsin–Madison","True","True","True","Daniel G. Delafield","1","keep"
"W304117529","Capillary Electrophoresis-Electrospray Ionization-Mass Spectrometry for Quantitative Analysis of Glycans Labeled with Multiplex Carbonyl-Reactive Tandem Mass Tags","2015","90","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Xuefei Zhong; Zhengwei Chen; Sergei I. Snovida; Yan Liu; John Rogers","5","keep"
"W3009985867","Neuropeptides in gut-brain axis and their influence on host immunity and stress","2020","89","Computational and Structural Biotechnology Journal","University of Wisconsin–Madison","True","True","False","Pingli Wei; Caitlin Keller","2","keep"
"W2964956302","Peroxymonosulfate Oxidizes Amino Acids in Water without Activation","2019","88","Environmental Science & Technology","University of Wisconsin–Madison","True","True","False","Mercedes Ruiz; Yi Yang; Christian A. Lochbaum; Daniel G. Delafield; Joseph J. Pignatello; Joel A. Pedersen","6","keep"
"W4323833063","Mass spectrometry imaging: the rise of spatially resolved single-cell omics","2023","88","Nature Methods","University of Wisconsin–Madison","True","True","True","Hua Zhang; Daniel G. Delafield","2","keep"
"W2763024842","Fast and Effective Ion Mobility–Mass Spectrometry Separation of <scp>d</scp>-Amino-Acid-Containing Peptides","2017","87","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Kévin Jeanne Dit Fouque; Alyssa Garabedian; Jacob Porter; M. J. Baird; Xueqin Pang; Todd D. Williams; Alexandre A. Shvartsburg; Francisco Fernandez‐Lima","8","keep"
"W2897052519","Recent advances in mass spectrometry (MS)-based glycoproteomics in complex biological samples","2018","84","TrAC Trends in Analytical Chemistry","University of Wisconsin–Madison; Tianjin University","True","True","False","Zhengwei Chen; Junfeng Huang","2","keep"
"W2766783676","Recent advances in ion mobility–mass spectrometry for improved structural characterization of glycans and glycoconjugates","2017","81","Current Opinion in Chemical Biology","University of Wisconsin–Madison","True","True","True","Zhengwei Chen; Matthew S. Glover","2","keep"
"W3155210079","In-depth Site-specific Analysis of N-glycoproteome in Human Cerebrospinal Fluid and Glycosylation Landscape Changes in Alzheimer's Disease","2021","80","Molecular & Cellular Proteomics","University of Wisconsin System; University of Wisconsin–Madison","True","True","True","Zhengwei Chen; Qinying Yu; Qing Yu; Jillian Johnson; Richard David Shipman; Xiaofang Zhong; Junfeng Huang; Sanjay Asthana; Cynthia M. Carlsson; Ozioma C. Okonkwo","10","keep"
"W4281633350","Recent advances in isobaric labeling and applications in quantitative proteomics","2022","80","PROTEOMICS","University of Wisconsin–Madison","True","True","True","Michael K. Sivanich; Ting‐Jia Gu; Dylan Nicholas Tabang","3","keep"
"W3198906216","Gold nanoparticles in virus detection: Recent advances and potential considerations for SARS‐CoV‐2 testing development","2021","77","Wiley Interdisciplinary Reviews Nanomedicine and Nanobiotechnology","University of Wisconsin–Madison","True","True","True","Jianxin Wang; Adam J. Drelich; Caroline M. Hopkins; Sandro Mecozzi; Glen S. Kwon; Seungpyo Hong","6","keep"
"W4292939486","High-end ion mobility mass spectrometry: A current review of analytical capacity in omics applications and structural investigations","2022","76","TrAC Trends in Analytical Chemistry","University of Wisconsin–Madison","True","True","False","Daniel G. Delafield; Gaoyuan Lu; Cameron J. Kaminsky","3","keep"
